Year,Division,Place,Team,Wins,Losses,Ties,Note,Points_Scored,Points_Allowed,Conference_Wins,Conference_Losses,Conference_Ties,Division_Wins,Division_Losses,Division_Ties
2016,AC North,1,2,10,6,0,Won Division,415,306,8,4,0,4,2,0
2016,AC North,2,6,7,9,0,None,295,360,6,6,0,4,2,0
2016,AC North,3,30,7,9,0,None,389,382,4,8,0,2,4,0
2016,AC North,4,22,5,11,0,None,294,433,3,9,0,2,4,0
2016,AC South,1,31,8,8,0,Won Division,322,368,7,5,0,5,1,0
2016,AC South,2,28,8,8,0,None,342,322,6,6,0,4,2,0
2016,AC South,3,12,8,8,0,None,344,409,6,6,0,2,4,0
2016,AC South,4,11,6,10,0,None,304,326,5,7,0,1,5,0
2016,AC East,1,19,14,2,0,Won Division,507,288,10,2,0,5,1,0
2016,AC East,2,14,9,7,0,None,327,330,5,7,0,2,4,0
2016,AC East,3,3,8,7,1,None,426,355,5,6,1,1,4,1
2016,AC East,4,16,5,10,1,None,317,328,4,7,1,3,2,1
2016,AC West,1,20,12,4,0,Won Division,441,342,10,2,0,5,1,0
2016,AC West,2,13,9,7,0,Wild Card,338,327,7,5,0,4,2,0
2016,AC West,3,23,9,7,0,Wild Card,337,312,6,6,0,2,4,0
2016,AC West,4,8,6,10,0,None,337,341,3,9,0,1,5,0
2016,NC North,1,10,12,4,0,Won Division,376,255,8,4,0,5,1,0
2016,NC North,2,9,10,6,0,Wild Card,296,265,7,5,0,2,4,0
2016,NC North,3,15,7,9,0,None,348,352,6,6,0,3,3,0
2016,NC North,4,5,5,11,0,None,215,359,3,9,0,2,4,0
2016,NC South,1,4,15,1,0,Won Division,387,214,11,1,0,5,1,0
2016,NC South,2,27,11,5,0,Wild Card,430,275,9,3,0,5,1,0
2016,NC South,3,1,5,11,0,None,269,367,5,7,0,1,5,0
2016,NC South,4,17,1,15,0,None,233,450,1,11,0,1,5,0
2016,NC East,1,18,10,6,0,Won Division,468,373,9,3,0,5,1,0
2016,NC East,2,21,9,7,0,None,345,341,7,5,0,3,3,0
2016,NC East,3,7,7,9,0,None,285,323,4,8,0,2,4,0
2016,NC East,4,29,7,9,0,None,258,287,5,7,0,2,4,0
2016,NC West,1,0,7,9,0,Won Division,334,335,7,5,0,4,2,0
2016,NC West,2,25,7,9,0,None,277,331,6,6,0,4,2,0
2016,NC West,3,26,7,9,0,None,263,307,5,7,0,3,3,0
2016,NC West,4,24,4,12,0,None,220,376,3,9,0,1,5,0
2015,AC North,1,2,12,4,0,Won Division,421,304,8,4,0,2,4,0
2015,AC North,2,6,11,5,0,Wild Card,396,289,8,4,0,5,1,0
2015,AC North,3,22,7,9,0,None,373,389,7,5,0,5,1,0
2015,AC North,4,30,0,16,0,None,151,485,0,12,0,0,6,0
2015,AC South,1,28,9,7,0,Won Division,326,288,6,6,0,4,2,0
2015,AC South,2,31,8,8,0,None,339,336,5,7,0,3,3,0
2015,AC South,3,11,6,10,0,None,314,328,4,8,0,3,3,0
2015,AC South,4,12,3,13,0,None,267,402,2,10,0,2,4,0
2015,AC East,1,19,12,4,0,Won Division,474,299,10,2,0,4,2,0
2015,AC East,2,14,10,6,0,Wild Card,338,333,9,3,0,3,3,0
2015,AC East,3,16,8,8,0,None,311,330,6,6,0,3,3,0
2015,AC East,4,3,8,8,0,None,353,371,6,6,0,2,4,0
2015,AC West,1,20,10,6,0,Won Division,387,359,7,5,0,4,2,0
2015,AC West,2,8,10,6,0,None,355,317,7,5,0,4,2,0
2015,AC West,3,23,9,7,0,None,347,293,5,7,0,0,6,0
2015,AC West,4,13,8,8,0,None,308,319,6,6,0,4,2,0
2015,NC North,1,10,12,4,0,Won Division,395,284,9,3,0,3,3,0
2015,NC North,2,5,6,10,0,None,275,315,6,6,0,4,2,0
2015,NC North,3,15,4,12,0,None,249,301,4,8,0,3,3,0
2015,NC North,4,9,4,12,0,None,211,300,3,9,0,2,4,0
2015,NC South,1,27,11,5,0,Won Division,321,276,10,2,0,5,1,0
2015,NC South,2,4,9,7,0,None,354,281,5,7,0,1,5,0
2015,NC South,3,17,8,8,0,None,348,390,7,5,0,5,1,0
2015,NC South,4,1,4,12,0,None,298,348,3,9,0,1,5,0
2015,NC East,1,18,10,6,0,Won Division,454,417,7,5,0,5,1,0
2015,NC East,2,29,10,6,0,Wild Card,352,281,7,5,0,3,3,0
2015,NC East,3,21,7,9,0,None,326,348,6,6,0,3,3,0
2015,NC East,4,7,4,12,0,None,244,448,2,10,0,1,5,0
2015,NC West,1,25,11,5,0,Won Division,389,268,9,3,0,5,1,0
2015,NC West,2,26,9,7,0,Wild Card,296,350,7,5,0,3,3,0
2015,NC West,3,24,9,7,0,None,390,299,6,6,0,2,4,0
2015,NC West,4,0,7,9,0,None,332,346,5,7,0,2,4,0
2014,AC North,1,6,10,6,0,Won Division,381,323,8,4,0,6,0,0
2014,AC North,2,22,10,6,0,Wild Card,444,350,8,4,0,4,2,0
2014,AC North,3,2,5,11,0,None,290,401,2,10,0,0,6,0
2014,AC North,4,30,3,13,0,None,183,393,3,9,0,2,4,0
2014,AC South,1,31,10,6,0,Won Division,329,357,8,4,0,4,2,0
2014,AC South,2,28,10,6,0,Wild Card,349,340,8,4,0,3,3,0
2014,AC South,3,12,9,7,0,None,414,378,8,4,0,4,2,0
2014,AC South,4,11,5,11,0,None,322,400,4,8,0,1,5,0
2014,AC East,1,19,15,1,0,Won Division,494,261,11,1,0,6,0,0
2014,AC East,2,16,8,8,0,None,396,273,6,6,0,3,3,0
2014,AC East,3,3,8,8,0,None,309,325,6,6,0,2,4,0
2014,AC East,4,14,5,11,0,None,265,352,4,8,0,1,5,0
2014,AC West,1,20,10,6,0,Won Division,318,285,8,4,0,4,2,0
2014,AC West,2,23,9,7,0,None,317,316,6,6,0,4,2,0
