Category,Team/All_Teams,Place,Record,Year,Team
Points Scored,0,0,253,2017,0
Points Scored,0,1,208,2016,0
Points Scored,0,2,207,2015,0
Points Scored,0,3,202,2014,0
Points Allowed,0,0,192,2017,0
Points Allowed,0,1,209,2016,0
Points Allowed,0,2,216,2015,0
Points Allowed,0,3,223,2014,0
Passing Yards,0,0,2364,2014,0
Passing Yards,0,1,2305,2017,0
Passing Yards,0,2,1928,2015,0
Passing Yards,0,3,1736,2016,0
Passing Yards Allowed,0,0,2105,2016,0
Passing Yards Allowed,0,1,2256,2017,0
Passing Yards Allowed,0,2,2279,2015,0
Passing Yards Allowed,0,3,2333,2014,0
Rushing Yards,0,0,1641,2017,0
Rushing Yards,0,1,1506,2016,0
Rushing Yards,0,2,1442,2015,0
Rushing Yards,0,3,1098,2014,0
Rushing Yards Allowed,0,0,1166,2017,0
Rushing Yards Allowed,0,1,1221,2014,0
Rushing Yards Allowed,0,2,1265,2016,0
Rushing Yards Allowed,0,3,1336,2015,0
Total Yards,0,0,3946,2017,0
Total Yards,0,1,3463,2014,0
Total Yards,0,2,3371,2015,0
Total Yards,0,3,3242,2016,0
Total Yards Allowed,0,0,3371,2016,0
Total Yards Allowed,0,1,3423,2017,0
Total Yards Allowed,0,2,3554,2014,0
Total Yards Allowed,0,3,3616,2015,0
Pass Attempts,0,0,356,2014,0
Pass Attempts,0,1,305,2016,0
Pass Attempts,0,2,293,2015,0
Pass Attempts,0,3,293,2017,0
Rush Attempts,0,0,331,2017,0
Rush Attempts,0,1,315,2016,0
Rush Attempts,0,2,305,2015,0
Rush Attempts,0,3,282,2014,0
Points Scored,1,0,198,2017,1
Points Scored,1,1,186,2015,1
Points Scored,1,2,168,2016,1
Points Scored,1,3,150,2014,1
Points Allowed,1,0,217,2015,1
Points Allowed,1,1,229,2016,1
Points Allowed,1,2,247,2017,1
Points Allowed,1,3,253,2014,1
Passing Yards,1,0,2578,2017,1
Passing Yards,1,1,2501,2015,1
Passing Yards,1,2,2365,2014,1
Passing Yards,1,3,2197,2016,1
Passing Yards Allowed,1,0,2271,2016,1
Passing Yards Allowed,1,1,2272,2015,1
Passing Yards Allowed,1,2,2420,2014,1
Passing Yards Allowed,1,3,2435,2017,1
Rushing Yards,1,0,1086,2017,1
Rushing Yards,1,1,930,2016,1
Rushing Yards,1,2,701,2015,1
Rushing Yards,1,3,613,2014,1
Rushing Yards Allowed,1,0,1025,2017,1
Rushing Yards Allowed,1,1,1080,2015,1
Rushing Yards Allowed,1,2,1416,2016,1
Rushing Yards Allowed,1,3,1556,2014,1
Total Yards,1,0,3665,2017,1
Total Yards,1,1,3203,2015,1
Total Yards,1,2,3128,2016,1
Total Yards,1,3,2978,2014,1
Total Yards Allowed,1,0,3353,2015,1
Total Yards Allowed,1,1,3460,2017,1
Total Yards Allowed,1,2,3687,2016,1
Total Yards Allowed,1,3,3976,2014,1
Pass Attempts,1,0,428,2014,1
Pass Attempts,1,1,390,2015,1
